Label,Topic,Claim original text,Claim corrected version,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Exposure to violent video games causes at least a temporary increase in aggression and this exposure correlates with aggression in the real world,exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,video game violence is not related to serious aggressive behavior in real life,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,some violent video games may actually have a prosocial effect in some contexts,some violent video games may actually have a prosocial effect in some contexts,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Violent video games increase the violent tendencies among youth,they increase the violent tendencies among youth,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,No conclusive link was found between video game usage and violent activity,have shown no conclusive link between video game usage and violent activity,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect, increased physiological arousal, and decreased pro-social (helping) behavior,violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect, increased physiological arousal, and decreased pro-social (helping) behavior
0,This house believes that the sale of violent video games to minors should be banned,video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder,video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder,,,,
0,This house believes that the sale of violent video games to minors should be banned,violent video games may increase mild forms of aggressive behavior in children and young adults,violent video games may increase mild forms of aggressive behavior in children and young adults,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior,exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violence in video games is not causally linked with aggressive tendencies,violence in video games is not causally linked with aggressive tendencies,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,No long-term relationship was found between playing violent video game and youth violence or bullying,no long-term relationship between playing violent video game and youth violence or bullying,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,aggressive children tend to select more violent video games, not the inverse,aggressive children tend to select more violent video games, not the inverse,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,No evidence has found that violent games are psychologically harmful to minors,no evidence violent games are psychologically harmful to minors,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,adolescents that don't play video games at all are most at-risk for violent behavior,adolescents that don't play video games at all are most at-risk for violent behavior,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,video game play is part of an adolescent boy's normal social setting,video game play is part of an adolescent boy's normal social setting,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Biological theories of aggression and violence have specifically excluded video game and other media effects,Other biological theories of aggression and violence have specifically excluded video game and other media effects,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Reinforcement of sexist stereotypes has been claimed as an effect of violent video games,Reinforcement of sexist stereotypes has also been claimed as an effect of violent video games,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,A correlation was found between children playing violent video games and suffering psychological effects,a correlation between children playing violent video games and suffering psychological effects,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violent video games can increase children's aggression,violent video games can increase children's aggression,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Media influences are too weak and distant to have much influence on aggressiveness,media influences are too weak and distant to have much influence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violent video games promote violent behavior, attitudes and beliefs by desensitizing an individual to aggression,violent video games promote violent behavior, attitudes and beliefs by desensitizing an individual to aggression,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Excessive exposure to violent video games and other violent media has been linked to aggressive behaviour,Excessive exposure to violent video games and other violent media has been linked to aggressive behaviour,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Neurological link was found between playing violent video games and aggressive behaviour in children and teenagers,neurological link between playing violent video games and aggressive behaviour in children and teenagers,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,There is no direct link between violent video games and their influence on children,there was no direct link between violent video games and their influence on children,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Video games develop the individual's intelligence,Video games also develop the individual's intelligence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violent games help students deal with stress and aggression,violent games help students deal with stress and aggression,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violent games affect students positively and not negatively,violent games affect students positively and not negatively,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,many skills can be learned from the gaming experience, it builds practical and intellectual skills,many skills can be learned from the gaming experience, it builds practical and intellectual skills,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,media cannot cause violence because humans have the ability to recognize what is wrong, and what is right,media cannot cause violence because humans have the ability to recognize what is wrong, and what is right,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,video games have many healthy and positive aspects,video games have many healthy and positive aspects,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Video games can be a safe outlet for aggression and frustration,they can be a safe outlet for aggression and frustration,,,,,,,,
