unique_identifier,text
1.1.1,"Controversies over video games often center on topics such as video game graphic violence , sex and sexism , violent and gory scenes , partial or full nudity , portrayal of criminal behavior , racism , and other provocative and objectionable material ."
2.1.1,Video games have been studied for links to addiction and aggression .
2.2.1,Earlier meta - analyses -LRB- an analysis of several studies -RRB- were conflicting .
2.3.1,A 2001 study found that exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world.
2.4.1,A decrease in prosocial behavior -LRB- caring about the welfare and rights of others -RRB- was also noted .
2.5.1,Another 2001 meta-analyses using similar methods and a more recent 2009 study focusing specifically on serious aggressive behavior concluded that video game violence is not related to serious aggressive behavior in real life.
3.1.1,Many potential positive effects have been proposed .
3.2.1,Recent research has suggested
3.2.2,"some violent video games may actually have a prosocial effect in some contexts , for example , team play"
4.1.1,It has been argued there is generally a lack of quality studies which can be relied upon and that the video game industry has become an easy target for the media to blame for many modern day problems.
4.2.1,"The most recent large scale meta-anlysis-- examining 130 studies with over 130,000 subjects worldwide-- concluded that exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior."
4.3.1,"However, this meta-analysis was severely criticized in the same issue of the same journal for a number of methodological flaws, including failure to distinguish clinically valid from unstandardized aggression measures and for failing to solicit studies from researchers who have questioned whether causal links exist, thus biasing the sample of included studies."
5.1.1,"The Entertainment Software Association states that 20% of video game players are boys under the age of 17, 26% are over 50 (regardless of gender), and that the average game player is 37."
6.1.1,"In a survey of 1,102 teenagers aged 12 to 17, 97% of them said that they play video games; moreover, half of the survey respondents said that they had played a video game in the last day."
6.2.1,Three-quarters of parents who were surveyed said that they check the ratings on their kid's games.
6.3.1,"However , half of the boys"
6.3.2,were asked about their favorite game
7.1.1,"The adult demographic is the fastest - growing segment of the American video games market with 32 % of adults playing video games ,"
7.1.2,critics have suggested
7.1.3,such statistics are often used
7.1.4,to deflect from the fact
7.1.5,almost all American children are exposed to video games
8.1.1,"As of 2011 , over 40 % of players are female ."
8.2.1,"However, a 1998 study conducted at the University of Central Florida found that of the 33 games sampled, 41% do not feature female characters, 28% portrayed women as sex objects, 21% depicted violence against women, and 30% did not represent the female population at all."
8.3.1,"Furthermore, characterizations of women tended to be stereotypical: highly sexualized (""visions of beauty with large breasts and hips""), dependent (""victim or as the proverbial 'Damsel in Distress'""), opposed (""evil or as obstacles to the goal of the game""), and trivial (""females depicted [..] in fairly non-significant roles"")."
9.1.1,"However, this report has been criticized for not representing a wide range of video games, and that the games analysed, being up to 20 years old, do not represent the current status of the video game industry, and that strong female characters are now increasingly more prevalent."
10.1.1,One of the most common criticisms of video games is
10.1.2,they increase the violent tendencies among youth
10.2.1,"However , several major studies by groups such as The Harvard Medical School Center for Mental Health , The Journal of Adolescent Health , and The British Medical Journal have shown no conclusive link between video game usage and violent activity . """
10.3.1,"One study did find an increase in reports of bullying, noting, ""Our research found that certain patterns of video game play were much more likely to be associated with these types of behavioral problems than with major violent crime such as school shootings."
10.4.1,"One of the first widely accepted controversial video games was developer Exidy 's 1976 title Death Race ,"
10.4.2,in which
10.4.3,players controlled cars
10.4.4,"ran over pixelated representations of "" gremlins """
10.5.1,The game caused such an outcry
10.5.2,it was pulled from store shelves and profiled on 60 Minutes
10.6.1,Long Island PTA president Ronnie Lamm pushed for legislation in the early 1980s
10.6.2,to place restrictions on
10.6.3,how close video
10.6.4,"game arcades could be to schools ,"
10.6.5,they caused children
10.6.6,to fight
10.7.1,"Portrayals of violence allegedly became more realistic with time , and so politicians such as U.S."
10.8.1,Senator Joe Lieberman conducted hearings during the 1990s regarding
10.8.2,"he referred to as "" violent video games """
10.8.3,", in his opinion , included such games as Mortal Kombat"
10.9.1,"His sentiments have been echoed by certain researchers, such as Dr. Craig A. Anderson who testified before the Senate, ""Some studies have yielded nonsignificant video game effects, just as some smoking studies failed to find a significant link to lung cancer."
10.10.1,"But when one combines all relevant empirical studies using meta-analytic techniques it shows that violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior."""
10.11.1,Anderson himself was later criticized in a 2005 video game court case for
10.11.2,to cite research
10.11.3,differed from his view
11.1.1,"Grand Theft Auto: Vice City is an example of a video game that caused controversy, over and above the debate surrounding the violent gameplay, for allegedly encouraging racist hate crimes."
11.2.1,"The game takes place in "" Vice City "" , a fictionalized Miami , in 1986 , and involves a gang war between Haitians and Cuban refugees , with the player 's character"
11.2.2,getting involved and encouraging the inter-ethnic violence
11.3.1,the Haitian - American Coalition threatened
11.3.2,to sue
12.1.1,Our Kids to Kill
12.2.1,"During heights of video game controversy he has been interviewed on the content of his books , and has repeatedly used"
12.2.2,"the term "" murder simulator "" to describe first - person shooter games"
12.3.1,"He argues that video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder by simulating the killing of hundreds or thousands of opponents in a single typical video game."
12.4.1,"Grossman 's conclusions have been criticized by some scholars , however , as highly selective and misleading ."
13.1.1,violent video games may increase mild forms of aggressive behavior in children and young adults
13.2.1,Analyses also showed
13.2.2,"exposure to violent video games results in increased physiological arousal , aggression - related thoughts and feelings as well as decreased prosocial behavior"
13.3.1,"The research comprised a meta analysis , laboratory and field studies ."
13.4.1,However meta-analyses by other groups have not replicated these findings  and these other groups have been critical of attempts to link violent games with aggression.
13.5.1,"For instance John Sherry has said -LRB- 2007 -RRB- "" Further ,"
13.5.2,do some researchers -LRB- e.g.
13.6.1,"Gentile & Anderson , 2003 -RRB- continue"
13.6.2,to argue
13.6.3,video games are dangerous despite evidence to the contrary ? ”
14.2.1,"compared the effects of violent video games to those of smoking on lung cancer This view has been challenged , however ."
14.3.1,"For instance, Ferguson (2010) has ruled out a relationship between video game violence and serious aggression, concluding ""Taken together these meta-analyses range from those which argue against meaningful effects to those which find weak effects."
14.4.1,Thus the debate on video game violence has been reduced to
14.4.2,video game violence produces no effects … or almost no effects
14.5.1,""" ."
15.1.1,Other studies reach the conclusion
15.1.2,violence in video games is not causally linked with aggressive tendencies
15.2.1,"to say , "" We"
15.3.1,But the impact was very small compared to other things .
15.4.1,"Some may not be happy with that, but that’s where the science is."""
15.5.1,"A meta - analysis by psychologist Jonathan Freedman ,"
15.5.2,reviewed over 200 published studies and found
15.5.3,"that the "" vast and overwhelming majority "" did not find a causal link"
15.6.1,violent books and 27 % were attracted to violent films
15.7.1,An Australian study found
15.7.2,only children already predisposed to violence were affected by violent games
15.8.1,A recent long - term outcome study of youth found no long - term relationship between
15.8.2,playing violent video game and youth violence or bullying
16.1.1,A recent longitudinal study of youth in Germany found
16.1.2,aggressive children tend
16.1.3,"to select more violent video games , not the inverse"
16.2.1,violent games are psychologically harmful to minors
16.3.1,other studies may have found spurious effects due to
16.3.2,"focusing on youth self - report of aggression rather than reports by parents or teachers , the so called "" single responder bias """
17.1.1,In Grand Theft Childhood : The Surprising Truth About Violent Video Games and
17.1.2,"Parents Can Do , researchers / authors Lawrence Kutner , PhD , and Cheryl K. Olson , ScD"
17.2.1,"The researchers' study shows that adolescents that don't play video games at all are most at-risk for violent behavior (but without statistical significance), claiming that video game play is part of an adolescent boy's normal social setting."
17.3.1,"However , they do not completely deny violent -LRB- M - rated -RRB- video games ' negative influences on pre-teens and teenagers ."
17.4.1,Kutner and Olson say the views of both alarmists and the video game industry are often supported by flawed or misconstrued studies.
17.5.1,"The real risks according to them are not just about exposure to violence ,"
17.5.2,gore and sex but are more subtle with some children at greater risk than others
18.1.1,Official records show
18.1.2,"violent crime rates have declined dramatically since the early 1990s in the USA , among both juveniles and adults"
18.2.1,This is despite sales of violent video games exploding and their content becoming increasingly graphic during the same period .
18.3.1,"Video game violence is not the primary contributor to societal violence , however ,"
18.3.2,there are many other factors at play
19.1.1,According to media
20.1.1,Fears have been expressed about exposure to violent video games .
20.2.1,"For example, politicians and other people and organizations have considered video games effects on society, where the causative factor was not clear, ""there has been some fears specially from UK news service that hijackers may have used flight simulator software to practice flying jet planes, also, Beam Breakers removed all references to the World Trade Center already used in the game 1""."
21.1.1,"Some researchers believe that while playing violent video games leads to violent actions, there are also biological influences that impact a person's choices."
21.2.1,"According to Sean P. Neubert of Rochester Institute of Technology, a person who is biologically predisposed to aggression will be more strongly influenced by violent scenes and thus will have a greater risk for carrying out destructive actions."
21.3.1,For example someone with antisocial personality disorder has a greater risk of
21.3.2,going out and shooting someone after
21.3.3,playing hours of Grand Theft Auto or a game of a similar nature
22.1.1,Other biological theories of aggression and violence have specifically excluded video game and other media effects .
22.2.1,a factor to have much influence
23.1.1,Sexual themes in video games are much less tolerated in the US than violent themes; the most well-known example of this is the Hot Coffee controversy.
23.2.1,"In June 2005 , an entire portion of unused code was found within the main script of Grand Theft Auto : San Andreas , allowing the player"
23.2.2,to simulate sex with the main character 's girlfriends
23.3.1,"The game could be accessed in the PC version via a mod , and through Action Replay codes in the PS2 and Xbox versions ."
23.4.1,"The fact that the scene was left on the disc, and could be accessed by altering a few bytes of the game's code via a hex editor, prompted the Entertainment Software Rating Board (ESRB) to change the rating of San Andreas to ""Adults Only"" on July 20, 2005."
23.5.1,The game was pulled from many stores; Rockstar Games posted a loss of $28.8 million that quarter.
23.6.1,"The most controversial video game of this nature was Rapelay , a game revolving around rape ."
23.7.1,Worldwide public campaigns against it led to the game being banned .
24.1.1,Almost no North American video games display full frontal nudity .
24.2.1,"Sexual themes are more common in Japanese PC games, but console companies such as Microsoft, Nintendo and Sony do not license adult-only content games for their systems."
25.1.1,Bias of gender exists in games .
25.2.1,Terry Flew writes
25.2.2,generally representations of gender in digital games are stereotyped
25.3.1,"In many games, male characters are portrayed as hard bodied, muscled men, and female characters are portrayed as soft bodied, nearly naked women with large breasts."
25.4.1,"In addition , Flew also believes"
25.4.2,female characters in games are usually portrayed in a narrowly stereotypical manner
25.5.1,Females are usually constructed as visual objects
25.5.2,wait for male rescue and need
25.5.3,"to be protected ,"
25.5.4,men are portrayed with more power
25.6.1,Such depiction of females in games reflects underlying social ideas of dominance of male over female and themes of masculinity .
25.7.1,"Although not all video games contain such stereotypes, there are enough to make it a general trait."
25.8.1,"Ultimately , Flew ends with the statement of the broad demographic 's excessive demands , in that ' . ."
25.8.2,different genders have different gaming
25.9.1,' .
26.1.1,"However , some video games do not conform to traditional gender roles such as the male being dominant and the female being submissive ."
26.2.1,"One such example would be the protagonist Lara Croft in the Tomb Raider video game series ,"
26.2.2,"is presented as a beautiful , clever , athletic , and brave English archaeologist - adventurer"
26.3.1,"Croft has achieved popularity with both males and females as an action heroine ,"
26.3.2,depending on
26.3.3,feminist perspective is applied
