,unique_identifier,text,sentiment_polarity,sentiment_subjectivity,lda_topics
0,1.1.1,"Controversies over video games often center on topics such as video game graphic violence , sex and sexism , violent and gory scenes , partial or full nudity , portrayal of criminal behavior , racism , and other provocative and objectionable material .",-0.2075,0.5175,4 6 11 13 16 18 
1,2.1.1,Video games have been studied for links to addiction and aggression .,0.0,0.0,4 6 11 13 16 18 
2,2.2.1,Earlier meta - analyses -LRB- an analysis of several studies -RRB- were conflicting .,0.0,0.25,4 6 11 13 16 18 
3,2.3.1,A 2001 study found that exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world.,-0.3,0.5666666666666667,4 6 11 13 16 18 
4,2.4.1,A decrease in prosocial behavior -LRB- caring about the welfare and rights of others -RRB- was also noted .,0.0,0.0,4 6 11 13 16 18 
5,2.5.1,Another 2001 meta-analyses using similar methods and a more recent 2009 study focusing specifically on serious aggressive behavior concluded that video game violence is not related to serious aggressive behavior in real life.,-0.0458333333333333,0.4479166666666666,4 6 11 13 16 18 
6,3.1.1,Many potential positive effects have been proposed .,0.2424242424242424,0.6818181818181818,4 6 11 13 16 18 
7,3.2.1,Recent research has suggested,0.0,0.25,4 6 11 13 16 18 
8,3.2.2,"some violent video games may actually have a prosocial effect in some contexts , for example , team play",-0.4,0.55,4 6 11 13 16 18 
9,4.1.1,It has been argued there is generally a lack of quality studies which can be relied upon and that the video game industry has become an easy target for the media to blame for many modern day problems.,0.1566666666666666,0.5066666666666666,4 6 11 13 16 18 
10,4.2.1,"The most recent large scale meta-anlysis-- examining 130 studies with over 130,000 subjects worldwide-- concluded that exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior.",-0.0226190476190476,0.4797619047619048,4 6 11 13 16 18 
11,4.3.1,"However, this meta-analysis was severely criticized in the same issue of the same journal for a number of methodological flaws, including failure to distinguish clinically valid from unstandardized aggression measures and for failing to solicit studies from researchers who have questioned whether causal links exist, thus biasing the sample of included studies.",-0.1055555555555555,0.1833333333333333,4 6 11 13 16 18 
12,5.1.1,"The Entertainment Software Association states that 20% of video game players are boys under the age of 17, 26% are over 50 (regardless of gender), and that the average game player is 37.",-0.3166666666666667,0.4000000000000001,4 6 11 13 16 18 
13,6.1.1,"In a survey of 1,102 teenagers aged 12 to 17, 97% of them said that they play video games; moreover, half of the survey respondents said that they had played a video game in the last day.",-0.1666666666666666,0.2583333333333333,4 6 11 13 16 18 
14,6.2.1,Three-quarters of parents who were surveyed said that they check the ratings on their kid's games.,0.0,0.0,4 6 11 13 16 18 
15,6.3.1,"However , half of the boys",-0.1666666666666666,0.1666666666666666,4 6 11 13 16 18 
16,6.3.2,were asked about their favorite game,0.0499999999999999,0.7,4 6 11 13 16 18 
17,7.1.1,"The adult demographic is the fastest - growing segment of the American video games market with 32 % of adults playing video games ,",0.05,0.15,4 6 11 13 16 18 
18,7.1.2,critics have suggested,0.0,0.0,4 6 11 13 16 18 
19,7.1.3,such statistics are often used,0.0,0.5,4 6 11 13 16 18 
20,7.1.4,to deflect from the fact,0.0,0.0,4 6 11 13 16 18 
21,7.1.5,almost all American children are exposed to video games,0.0,0.0,4 6 11 13 16 18 
22,8.1.1,"As of 2011 , over 40 % of players are female .",0.0,0.1666666666666666,4 6 11 13 16 18 
23,8.2.1,"However, a 1998 study conducted at the University of Central Florida found that of the 33 games sampled, 41% do not feature female characters, 28% portrayed women as sex objects, 21% depicted violence against women, and 30% did not represent the female population at all.",0.0,0.1944444444444444,4 6 11 13 16 18 
24,8.3.1,"Furthermore, characterizations of women tended to be stereotypical: highly sexualized (""visions of beauty with large breasts and hips""), dependent (""victim or as the proverbial 'Damsel in Distress'""), opposed (""evil or as obstacles to the goal of the game""), and trivial (""females depicted [..] in fairly non-significant roles"").",-0.1188392857142857,0.5398214285714286,4 6 11 13 16 18 
25,9.1.1,"However, this report has been criticized for not representing a wide range of video games, and that the games analysed, being up to 20 years old, do not represent the current status of the video game industry, and that strong female characters are now increasingly more prevalent.",0.0761904761904761,0.3999999999999999,4 6 11 13 16 18 
26,10.1.1,One of the most common criticisms of video games is,0.1,0.5,4 6 11 13 16 18 
27,10.1.2,they increase the violent tendencies among youth,-0.8,1.0,4 6 11 13 16 18 
28,10.2.1,"However , several major studies by groups such as The Harvard Medical School Center for Mental Health , The Journal of Adolescent Health , and The British Medical Journal have shown no conclusive link between video game usage and violent activity . """,-0.13375,0.27,4 6 11 13 16 18 
29,10.3.1,"One study did find an increase in reports of bullying, noting, ""Our research found that certain patterns of video game play were much more likely to be associated with these types of behavioral problems than with major violent crime such as school shootings.",-0.0604591836734694,0.6387755102040816,4 6 11 13 16 18 
30,10.4.1,"One of the first widely accepted controversial video games was developer Exidy 's 1976 title Death Race ,",0.2333333333333333,0.5611111111111111,4 6 11 13 16 18 
31,10.4.2,in which,0.0,0.0,4 6 11 13 16 18 
32,10.4.3,players controlled cars,0.0,0.0,4 6 11 13 16 18 
33,10.4.4,"ran over pixelated representations of "" gremlins """,0.0,0.0,4 6 11 13 16 18 
34,10.5.1,The game caused such an outcry,-0.2,0.45,4 6 11 13 16 18 
35,10.5.2,it was pulled from store shelves and profiled on 60 Minutes,0.0,0.0,4 6 11 13 16 18 
36,10.6.1,Long Island PTA president Ronnie Lamm pushed for legislation in the early 1980s,0.025,0.35,4 6 11 13 16 18 
37,10.6.2,to place restrictions on,0.0,0.0,4 6 11 13 16 18 
38,10.6.3,how close video,0.0,0.0,4 6 11 13 16 18 
39,10.6.4,"game arcades could be to schools ,",-0.4,0.4,4 6 11 13 16 18 
40,10.6.5,they caused children,0.0,0.0,4 6 11 13 16 18 
41,10.6.6,to fight,0.0,0.0,4 6 11 13 16 18 
42,10.7.1,"Portrayals of violence allegedly became more realistic with time , and so politicians such as U.S.",0.1416666666666666,0.3583333333333333,4 6 11 13 16 18 
43,10.8.1,Senator Joe Lieberman conducted hearings during the 1990s regarding,0.0,0.0,4 6 11 13 16 18 
44,10.8.2,"he referred to as "" violent video games """,-0.8,1.0,4 6 11 13 16 18 
45,10.8.3,", in his opinion , included such games as Mortal Kombat",0.0,0.5,4 6 11 13 16 18 
46,10.9.1,"His sentiments have been echoed by certain researchers, such as Dr. Craig A. Anderson who testified before the Senate, ""Some studies have yielded nonsignificant video game effects, just as some smoking studies failed to find a significant link to lung cancer.",-0.0621428571428571,0.5292857142857142,4 6 11 13 16 18 
47,10.10.1,"But when one combines all relevant empirical studies using meta-analytic techniques it shows that violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior.""",-0.065,0.7150000000000001,4 6 11 13 16 18 
48,10.11.1,Anderson himself was later criticized in a 2005 video game court case for,-0.2,0.2,4 6 11 13 16 18 
49,10.11.2,to cite research,0.0,0.0,4 6 11 13 16 18 
50,10.11.3,differed from his view,0.0,0.0,4 6 11 13 16 18 
51,11.1.1,"Grand Theft Auto: Vice City is an example of a video game that caused controversy, over and above the debate surrounding the violent gameplay, for allegedly encouraging racist hate crimes.",-0.2666666666666666,0.5833333333333334,4 6 11 13 16 18 
52,11.2.1,"The game takes place in "" Vice City "" , a fictionalized Miami , in 1986 , and involves a gang war between Haitians and Cuban refugees , with the player 's character",-0.4,0.4,4 6 11 13 16 18 
53,11.2.2,getting involved and encouraging the inter-ethnic violence,0.0,0.0,4 6 11 13 16 18 
54,11.3.1,the Haitian - American Coalition threatened,0.0,0.0,4 6 11 13 16 18 
55,11.3.2,to sue,0.0,0.0,4 6 11 13 16 18 
56,12.1.1,Our Kids to Kill,0.0,0.0,4 6 11 13 16 18 
57,12.2.1,"During heights of video game controversy he has been interviewed on the content of his books , and has repeatedly used",-0.4,0.4,4 6 11 13 16 18 
58,12.2.2,"the term "" murder simulator "" to describe first - person shooter games",0.25,0.3333333333333333,4 6 11 13 16 18 
59,12.3.1,"He argues that video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder by simulating the killing of hundreds or thousands of opponents in a single typical video game.",-0.0197278911564625,0.523469387755102,4 6 11 13 16 18 
60,12.4.1,"Grossman 's conclusions have been criticized by some scholars , however , as highly selective and misleading .",0.16,0.5399999999999999,4 6 11 13 16 18 
61,13.1.1,violent video games may increase mild forms of aggressive behavior in children and young adults,-0.1222222222222222,0.6333333333333333,4 6 11 13 16 18 
62,13.2.1,Analyses also showed,0.0,0.0,4 6 11 13 16 18 
63,13.2.2,"exposure to violent video games results in increased physiological arousal , aggression - related thoughts and feelings as well as decreased prosocial behavior",-0.4000000000000001,0.6999999999999998,4 6 11 13 16 18 
64,13.3.1,"The research comprised a meta analysis , laboratory and field studies .",0.0,0.0,4 6 11 13 16 18 
65,13.4.1,However meta-analyses by other groups have not replicated these findings  and these other groups have been critical of attempts to link violent games with aggression.,-0.2625,0.6375,4 6 11 13 16 18 
66,13.5.1,"For instance John Sherry has said -LRB- 2007 -RRB- "" Further ,",0.0,0.5,4 6 11 13 16 18 
67,13.5.2,do some researchers -LRB- e.g.,0.0,0.0,4 6 11 13 16 18 
68,13.6.1,"Gentile & Anderson , 2003 -RRB- continue",0.0,0.0,4 6 11 13 16 18 
69,13.6.2,to argue,0.0,0.0,4 6 11 13 16 18 
70,13.6.3,video games are dangerous despite evidence to the contrary ? ”,-0.6,0.9,4 6 11 13 16 18 
71,14.2.1,"compared the effects of violent video games to those of smoking on lung cancer This view has been challenged , however .",-0.8,1.0,4 6 11 13 16 18 
